','Under 5 years','5 to 9 years','10 to 14 years','15 to 19 years','20 to 24 years','25 to 29 years','30 to 34 years','35 to 39 years','40 to 44 years','45 to 49 years','50 to 54 years','55 to 59 years','60 to 64 years','65 to 69 years','70 to 74 years','75 to 79 years','80 to 84 years','85 years and over
Somerville,4.6,3.1,2.6,4.6,12.2,18.6,12.8,8.3,6,5.4,4.9,4.2,3.8,2.6,2.1,1.7,1.4,1.4
MA,5.6,5.9,6.2,7.1,7.3,6.7,6.2,6.4,7.2,7.9,7.6,6.6,5.7,4,2.9,2.5,2.1,2.2
