"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Indio city, California","81.2","10.0","2.7","1.6","1.0","3.5",23.3
"Inglewood city, California","72.2","12.1","7.7","2.3","2.3","3.4",30.1
"Irvine city, California","79.7","6.5","2.2","2.1","2.2","7.3",25.9
"Jurupa Valley city, California","76.3","18.9","0.8","0.8","1.0","2.3",30
"Lake Forest city, California","84.2","7.5","1.2","0.5","1.8","4.8",26.3
"Lakewood city, California","81.9","10.6","2.9","1.0","1.5","2.1",26.6
"Lancaster city, California","84.4","10.4","1.8","1.1","0.7","1.6",30.4
"Livermore city, California","79.0","6.8","3.2","1.6","2.4","7.1",29.2
"Long Beach city, California","72.8","9.8","8.2","2.5","1.9","4.9",28.6
"Los Angeles city, California","67.4","9.9","10.9","3.6","2.4","5.8",29.8
"Lynwood city, California","68.3","15.2","5.8","3.6","4.8","2.2",27.3
"Manteca city, California","83.8","12.0","1.1","0.4","0.9","1.7",30.3
"Menifee city, California","73.3","16.9","0.2","1.6","2.7","5.3",40.8
"Merced city, California","76.5","10.3","1.4","3.3","5.1","3.5",22.7
"Milpitas city, California","84.0","10.0","3.1","0.6","0.2","2.0",24.1
"Mission Viejo city, California","81.2","8.4","1.0","0.1","0.7","8.6",26.9
"Modesto city, California","79.2","11.6","1.7","1.6","1.5","4.4",26.6
"Moreno Valley city, California","81.2","10.0","1.3","0.9","4.2","2.4",34.6
"Mountain View city, California","69.9","10.2","5.4","2.8","7.7","4.0",20.4
"Murrieta city, California","81.8","9.1","0.4","0.6","1.1","7.0",34.9
"Napa city, California","76.6","12.9","1.7","3.8","1.4","3.6",21.7
"Newport Beach city, California","79.8","2.2","0.7","2.3","2.6","12.4",22.7
"Norwalk city, California","83.1","9.2","3.6","1.5","1.1","1.5",29.6
"Oakland city, California","54.8","11.3","19.2","4.3","4.4","6.0",28.9
"Oceanside city, California","76.1","13.1","2.9","1.2","1.6","5.2",27.5
"Ontario city, California","76.9","17.1","1.3","1.2","1.4","2.0",29.6
"Orange city, California","79.3","9.1","1.8","2.6","2.8","4.4",25.3
"Oxnard city, California","73.2","20.4","1.3","1.6","1.5","1.9",22.4
"Palmdale city, California","71.6","17.3","3.5","1.7","0.9","5.0",39.4
"Palo Alto city, California","64.4","8.7","6.0","4.3","10.3","6.4",22.1
"Pasadena city, California","71.4","8.8","5.1","6.5","2.4","5.7",25.9
"Perris city, California","81.8","11.7","1.3","1.9","1.7","1.7",34.6
"Pittsburg city, California","59.6","22.5","11.0","1.4","1.8","3.7",36.8
"Pleasanton city, California","72.7","7.3","6.2","2.5","2.3","9.0",28.9
"Pomona city, California","73.3","14.4","3.5","2.7","1.7","4.4",27.8
"Rancho Cordova city, California","75.1","11.6","3.0","2.3","3.3","4.7",24.4
"Rancho Cucamonga city, California","82.3","12.5","1.8","0.4","1.0","2.0",31.4
"Redding city, California","82.2","9.0","1.4","2.3","2.6","2.7",16.2
"Redlands city, California","77.4","10.7","1.4","5.2","2.1","3.2",25.4
"Redondo Beach city, California","81.7","5.8","1.4","2.2","2.3","6.6",25.1
"Redwood City city, California","72.2","9.1","5.7","2.6","3.8","6.6",23.9
"Rialto city, California","78.2","15.6","2.5","0.1","1.2","2.5",32.1
"Richmond city, California","62.6","16.8","13.5","2.4","2.5","2.2",31.5
"Riverside city, California","74.5","13.9","3.3","2.4","1.6","4.4",28.8
"Roseville city, California","79.1","9.2","0.9","2.4","1.6","6.8",26
"Sacramento city, California","73.3","12.3","3.6","3.0","3.8","4.0",24.1
"Salinas city, California","69.9","17.5","0.8","1.5","7.3","2.9",23.2
"San Bernardino city, California","73.7","15.2","3.9","3.3","1.6","2.4",27.1
"San Buenaventura (Ventura) city, California","75.3","13.3","2.4","2.7","1.6","4.6",22.3
"San Diego city, California","75.0","9.8","3.6","2.7","2.4","6.5",22.7
"San Francisco city, California","36.3","7.7","33.1","9.8","6.3","6.7",31.6
"San Jose city, California","77.5","11.0","3.7","1.3","2.2","4.3",26.8
"San Leandro city, California","71.6","8.2","12.4","1.5","4.2","2.2",29
"San Marcos city, California","83.2","10.2","1.0","0.6","1.2","3.8",24.2
"San Mateo city, California","65.4","11.9","10.9","4.9","3.6","3.3",25.8
"San Ramon city, California","78.1","8.0","4.4","1.1","1.1","7.3",33
"Santa Ana city, California","70.8","15.1","6.8","2.6","3.1","1.7",24.5
"Santa Barbara city, California","62.3","9.0","6.1","7.3","8.7","6.6",15.6
"Santa Clara city, California","78.2","11.1","2.3","2.3","2.7","3.3",22.2
"Santa Clarita city, California","75.6","12.3","3.0","1.7","1.5","5.8",32.1
"Santa Maria city, California","70.2","22.7","1.2","1.3","2.6","2.0",20
"Santa Monica city, California","63.2","5.7","6.2","7.5","7.1","10.2",24.3
"Santa Rosa city, California","79.2","9.7","1.8","3.8","1.9","3.6",22.7
"Simi Valley city, California","80.3","10.0","1.1","1.0","1.6","6.0",29.3
"South Gate city, California","71.6","12.2","8.6","2.8","1.9","2.8",30.5
"South San Francisco city, California","68.3","13.8","13.3","1.9","1.7","1.0",26.2
"Stockton city, California","78.0","14.2","1.4","1.8","1.5","3.1",26.5
"Sunnyvale city, California","76.2","12.1","4.4","1.0","3.7","2.7",23.8
"Temecula city, California","78.5","13.4","0.6","0.7","1.9","4.9",32.8
"Thousand Oaks city, California","76.2","9.4","0.8","2.6","2.5","8.4",25.7
"Torrance city, California","83.3","6.7","1.4","2.1","1.4","5.2",24.4
"Tracy city, California","76.7","13.4","2.8","1.7","0.9","4.5",42.6
"Turlock city, California","82.7","10.8","0.5","1.9","0.5","3.6",22.1
"Tustin city, California","78.9","11.7","2.1","1.0","1.6","4.8",26.1
"Union City city, California","74.7","11.9","9.6","0.4","1.2","2.2",32.5
"Upland city, California","84.1","8.7","1.2","1.9","0.7","3.2",30.9
"Vacaville city, California","86.6","7.9","0.5","1.6","0.8","2.6",23.2
"Vallejo city, California","71.2","16.0","4.0","1.9","1.7","5.2",33.3
"Victorville city, California","75.7","15.3","0.9","1.1","1.0","6.1",36.2
"Visalia city, California","78.2","13.4","0.8","1.8","2.6","3.3",20.4
"Vista city, California","79.3","13.6","1.1","0.5","0.9","4.7",23.2
"Walnut Creek city, California","65.3","7.1","15.5","1.4","2.1","8.6",31.4
"West Covina city, California","77.0","13.7","4.1","0.6","1.6","3.0",36.2
"Westminster city, California","81.7","11.8","0.9","1.0","1.7","3.0",26.4
"Whittier city, California","80.8","8.1","2.9","2.3","2.4","3.6",29.9
"Yorba Linda city, California","80.0","11.3","0.8","0.7","2.0","5.2",30
"Yuba City city, California","77.7","14.0","1.6","2.3","0.7","3.7",25.7
"Arvada city, Colorado","80.1","6.4","2.5","0.8","2.4","7.7",28.3
"Aurora city, Colorado","75.4","11.7","6.6","2.0","1.5","2.8",28.2
"Boulder city, Colorado","50.2","3.8","8.8","10.8","13.8","12.5",19.8
"Centennial city, Colorado","79.8","6.7","1.6","1.0","2.5","8.4",24.7
"Colorado Springs city, Colorado","79.0","10.6","0.8","2.4","1.6","5.6",20.8
"Denver city, Colorado","68.6","8.7","7.2","5.0","4.1","6.3",24.6
"Fort Collins city, Colorado","70.8","6.6","2.2","4.8","8.8","6.8",18.8
"Greeley city, Colorado","77.4","10.6","0.4","4.9","2.4","4.4",23.1
"Highlands Ranch CDP, Colorado","77.5","8.5","2.2","1.2","1.3","9.3",25.3
"Lakewood city, Colorado","78.4","9.2","3.5","1.5","2.9","4.4",25.2
"Longmont city, Colorado","74.8","8.9","4.3","3.0","1.5","7.6",21.9
"Loveland city, Colorado","77.8","8.4","0.9","1.4","3.5","8.0",26.9
"Pueblo city, Colorado","78.4","12.3","0.7","4.5","1.5","2.6",17.7
"Thornton city, Colorado","84.1","7.9","2.2","0.5","1.5","3.9",30.9
"Westminster city, Colorado","77.5","9.9","4.2","1.8","1.3","5.4",26.8
"Bridgeport city, Connecticut","66.4","13.8","9.5","6.0","3.2","1.0",26
"Danbury city, Connecticut","73.8","17.3","2.1","1.8","2.7","2.4",23.9
"Hartford city, Connecticut","64.5","6.8","17.1","6.9","2.2","2.5",21.4
"New Britain city, Connecticut","75.8","12.1","2.7","4.3","2.6","2.4",21
"New Haven city, Connecticut","58.1","9.0","15.3","11.2","4.8","1.7",21.3
"Norwalk city, Connecticut","71.6","8.9","10.5","3.0","1.7","4.4",24.3
"Stamford city, Connecticut","71.0","9.6","10.4","4.2","1.3","3.4",25.7
"Waterbury city, Connecticut","80.0","11.3","4.6","2.3","1.4","0.4",23.3
"Wilmington city, Delaware","68.8","6.0","10.3","7.9","2.7","4.3",21.2
"Washington city, District of Columbia","34.1","5.6","38.6","11.9","5.2","4.6",29.9
"Alafaya CDP, Florida","81.7","7.0","1.2","0.0","3.7","6.4",28.9
"Boca Raton city, Florida","71.9","5.8","1.1","1.4","2.7","17.3",21
"Boynton Beach city, Florida","82.1","5.9","4.7","0.4","2.7","4.2",24
"Brandon CDP, Florida","81.6","9.8","0.2","3.0","1.4","4.0",25.2
"Cape Coral city, Florida","81.9","9.7","1.0","1.1","2.3","4.0",27.5
"Clearwater city, Florida","77.6","5.5","2.5","2.6","4.5","7.3",23.7
"Coral Springs city, Florida","83.1","9.8","0.8","0.8","1.1","4.3",27.2
"Davie town, Florida","84.0","5.9","1.6","0.5","1.1","6.9",28.8
"Deerfield Beach city, Florida","81.0","10.4","4.2","0.6","2.3","1.6",25.6
"Deltona city, Florida","85.1","7.0","0.0","0.2","3.0","4.8",31.5
"Fort Lauderdale city, Florida","68.2","10.5","5.2","2.6","5.5","8.0",24.6
"Fort Myers city, Florida","73.5","12.3","3.2","1.5","3.2","6.3",26
"Gainesville city, Florida","66.8","8.3","8.2","4.9","8.0","3.8",16.5
"Hialeah city, Florida","75.3","9.7","2.8","1.9","0.8","9.6",25.9
"Hollywood city, Florida","74.4","11.2","4.6","3.0","2.1","4.8",30.2
"Jacksonville city, Florida","79.7","10.7","1.9","1.4","1.9","4.4",23.5
"Kendall CDP, Florida","82.0","7.1","4.4","1.2","2.1","3.2",31.8
"Lakeland city, Florida","83.1","9.7","1.2","2.2","1.0","2.7",20.2
"Largo city, Florida","80.5","10.0","0.3","1.1","3.7","4.4",22.3
"Lauderhill city, Florida","76.3","9.3","6.7","3.4","1.7","2.6",28.5
"Lehigh Acres CDP, Florida","74.6","17.5","0.8","0.4","3.5","3.3",36.5
"Melbourne city, Florida","84.4","8.5","0.6","1.9","2.1","2.5",20.6
"Miami city, Florida","69.7","8.2","12.2","4.2","2.2","3.6",26.9
