Municipality,'Cambridge','Brookline','Somerville','Boston','Saugus','Watertown','Malden','Chelsea','Medford','Winchester','Melrose','Belmont','Everett','Arlington','Revere','Lynn'
Tax w/ Exemption on $400k Property,1709,2706,3482,3532,4512,4636,4793,4935,4944,5108,5212,5332,5433,5444,6224,6772
Tax Rate,8.66,11.65,13.42,13.14,11.28,14.68,15.88,14.13,12.36,12.77,13.03,13.33,15.64,13.61,15.56,16.93
